datetime,open,high,low,close,volume
2025-04-30 00:00:00+00:00,94256.8200000000,95228.4500000000,92910.0000000000,94172.0000000000,17661.2751000000
2025-05-01 00:00:00+00:00,94172.0000000000,97424.0200000000,94130.4300000000,96489.9100000000,21380.4534300000
2025-05-02 00:00:00+00:00,96489.9000000000,97895.6800000000,96350.0000000000,96887.1400000000,14905.7481100000
2025-05-03 00:00:00+00:00,96887.1300000000,96935.6700000000,95753.0100000000,95856.4200000000,9723.3483800000
2025-05-04 00:00:00+00:00,95856.4200000000,96304.4800000000,94151.3800000000,94277.6200000000,11036.3834200000
2025-05-05 00:00:00+00:00,94277.6100000000,95199.0000000000,93514.1000000000,94733.6800000000,17251.1818900000
2025-05-06 00:00:00+00:00,94733.6800000000,96920.6500000000,93377.0000000000,96834.0200000000,16122.6451300000
2025-05-07 00:00:00+00:00,96834.0200000000,97732.0000000000,95784.6100000000,97030.5000000000,16644.8385400000
2025-05-08 00:00:00+00:00,97030.5000000000,104145.7600000000,96876.2900000000,103261.6000000000,34962.0284700000
2025-05-09 00:00:00+00:00,103261.6100000000,104361.3000000000,102315.1400000000,102971.9900000000,27617.3990700000
2025-05-10 00:00:00+00:00,102971.9900000000,104984.5700000000,102818.7600000000,104809.5300000000,15324.7861100000
2025-05-11 00:00:00+00:00,104809.5300000000,104972.0000000000,103345.0600000000,104118.0000000000,17987.1219700000
2025-05-12 00:00:00+00:00,104118.0000000000,105819.4500000000,100718.3700000000,102791.3200000000,31272.7779200000
2025-05-13 00:00:00+00:00,102791.3200000000,104976.2500000000,101429.7000000000,104103.7200000000,21253.4240900000
2025-05-14 00:00:00+00:00,104103.7200000000,104356.9500000000,102602.0500000000,103507.8200000000,16452.9081000000
2025-05-15 00:00:00+00:00,103507.8300000000,104192.7000000000,101383.0700000000,103763.7100000000,17998.9860400000
2025-05-16 00:00:00+00:00,103763.7100000000,104550.3300000000,103100.4900000000,103463.9000000000,15683.8802400000
2025-05-17 00:00:00+00:00,103463.9000000000,103709.8600000000,102612.5000000000,103126.6500000000,11250.8962200000
2025-05-18 00:00:00+00:00,103126.6500000000,106660.0000000000,103105.0900000000,106454.2600000000,21599.9872600000
2025-05-19 00:00:00+00:00,106454.2700000000,107108.6200000000,102000.0000000000,105573.7400000000,30260.0352400000
2025-05-20 00:00:00+00:00,105573.7300000000,107320.0000000000,104184.7200000000,106849.9900000000,23705.4827500000
2025-05-21 00:00:00+00:00,106850.0000000000,110797.3800000000,106100.0100000000,109643.9900000000,45531.0403450000
2025-05-22 00:00:00+00:00,109643.9900000000,111980.0000000000,109177.3700000000,111696.2100000000,31630.7731300000
2025-05-23 00:00:00+00:00,111696.2200000000,111800.0000000000,106800.0000000000,107318.3000000000,31737.7230900000
2025-05-24 00:00:00+00:00,107318.3000000000,109506.0300000000,106875.4100000000,107761.9100000000,16782.5312900000
2025-05-25 00:00:00+00:00,107761.9000000000,109299.9900000000,106600.6400000000,109004.1900000000,17710.0469500000
2025-05-26 00:00:00+00:00,109004.2000000000,110422.2200000000,108670.5800000000,109434.7900000000,14649.1159300000
2025-05-27 00:00:00+00:00,109434.7800000000,110718.0000000000,107516.5700000000,108938.1700000000,21276.6563500000
2025-05-28 00:00:00+00:00,108938.1700000000,109284.7000000000,106769.4300000000,107781.7800000000,15633.7882900000
2025-05-29 00:00:00+00:00,107781.7800000000,108891.9100000000,105322.8600000000,105589.7500000000,19834.7011600000
2025-05-30 00:00:00+00:00,105589.7500000000,106313.1200000000,103621.0000000000,103985.4800000000,23706.4979900000
2025-05-31 00:00:00+00:00,103985.4700000000,104900.0000000000,103068.5500000000,104591.8800000000,11289.3592200000
2025-06-01 00:00:00+00:00,104591.8800000000,105866.9100000000,103752.4900000000,105642.9300000000,9709.7000600000
2025-06-02 00:00:00+00:00,105642.9300000000,105935.6300000000,103659.8800000000,105857.9900000000,13453.9881300000
2025-06-03 00:00:00+00:00,105858.0000000000,106794.6700000000,104872.5000000000,105376.8900000000,13259.5263400000
2025-06-04 00:00:00+00:00,105376.9000000000,106000.0000000000,104179.0000000000,104696.8600000000,14034.8948200000
2025-06-05 00:00:00+00:00,104696.8600000000,105909.7100000000,100372.2600000000,101508.6800000000,22321.5015400000
2025-06-06 00:00:00+00:00,101508.6900000000,105333.0000000000,101095.8000000000,104288.4400000000,15839.0738500000
2025-06-07 00:00:00+00:00,104288.4300000000,105900.0000000000,103871.0900000000,105552.1500000000,8344.9320600000
2025-06-08 00:00:00+00:00,105552.1500000000,106488.1400000000,104964.1400000000,105734.0000000000,8048.0630500000
2025-06-09 00:00:00+00:00,105734.0100000000,110530.1700000000,105318.3700000000,110263.0200000000,19975.3745100000
2025-06-10 00:00:00+00:00,110263.0200000000,110400.0000000000,108331.0300000000,110274.3900000000,17071.8283900000
2025-06-11 00:00:00+00:00,110274.3900000000,110392.0100000000,108064.0000000000,108645.1200000000,13115.9163800000
2025-06-12 00:00:00+00:00,108645.1300000000,108813.5500000000,105671.7200000000,105671.7300000000,17778.6721800000
2025-06-13 00:00:00+00:00,105671.7400000000,106179.5300000000,102664.3100000000,106066.5900000000,26180.8173400000
2025-06-14 00:00:00+00:00,106066.5900000000,106252.0000000000,104300.0000000000,105414.6400000000,8798.9396900000
